id,Area,StreetName,DateTime,TotalVehiclesParked,TotalParkingSpace,Occupancy,dayOfWeek
384,Ballard,NW MARKET ST BETWEEN 24TH AVE NW AND 26TH AVE NW,2018-04-19 20:00:00,15,19,0.7895,Thursday
385,Ballard,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,2016-07-04 12:00:00,35,39,0.8974,Monday
386,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2014-07-05 14:00:00,9,13,0.6923,Saturday
387,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2015-07-15 19:00:00,12,16,0.75,Wednesday
388,Ballard,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,2017-03-05 12:00:00,35,39,0.8974,Sunday
389,Ballard,NW 56TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,2015-07-15 10:00:00,15,17,0.8824,Wednesday
390,Ballard,LEARY AVE NW BETWEEN NW VERNON PL AND NW MARKET ST,2016-07-04 13:00:00,10,15,0.6667,Monday
391,Ballard,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,2014-07-05 16:00:00,15,17,0.8824,Saturday
392,Ballard,NW 57TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,2018-04-19 10:00:00,15,19,0.7895,Thursday
393,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2016-07-04 20:00:00,10,15,0.6667,Monday
394,Ballard,RUSSELL AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2015-07-15 12:00:00,5,11,0.4545,Wednesday
395,Ballard,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,2016-07-04 15:00:00,10,15,0.6667,Monday
396,Ballard,BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,2014-07-05 20:00:00,10,14,0.7143,Saturday
397,Ballard,NW MARKET ST BETWEEN TALLMAN AVE NW AND 20TH AVE NW,2017-03-05 20:00:00,10,15,0.6667,Sunday
398,Ballard,NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2018-04-19 13:00:00,15,18,0.8333,Thursday
399,Ballard,BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,2016-07-04 09:00:00,10,15,0.6667,Monday
400,Ballard,BALLARD AVE NW BETWEEN NW BALLARD WAY AND NW 48TH ST,2014-07-05 09:00:00,10,15,0.6667,Saturday
401,Ballard,RUSSELL AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2015-07-15 14:00:00,5,11,0.4545,Wednesday
402,Ballard,BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,2018-04-19 19:00:00,5,11,0.4545,Thursday
403,Ballard,LEARY AVE NW BETWEEN NW IONE PL AND 20TH AVE NW,2014-07-05 23:00:00,15,17,0.8824,Saturday
404,Ballard,RUSSELL AVE NW BETWEEN 20TH AVE NW AND NW MARKET ST,2018-04-19 17:00:00,10,15,0.6667,Thursday
405,Ballard,BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,2016-07-04 11:00:00,9,13,0.6923,Monday
406,Ballard,LEARY AVE NW BETWEEN NW LEARY WAY AND NW DOCK PL,2014-07-05 12:00:00,12,16,0.75,Saturday
407,Ballard,LEARY AVE NW BETWEEN NW LEARY WAY AND NW DOCK PL,2015-07-15 17:00:00,12,16,0.75,Wednesday
408,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2015-07-15 08:00:00,12,16,0.75,Wednesday
409,Ballard,NW 56TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,2018-04-19 21:00:00,5,11,0.4545,Thursday
410,Ballard,RUSSELL AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2014-07-05 14:00:00,5,11,0.4545,Saturday
411,Ballard,20TH AVE NW BETWEEN BALLARD AVE NW AND LEARY AVE NW,2015-07-15 20:00:00,9,13,0.6923,Wednesday
412,Ballard,BALLARD AVE NW BETWEEN NW DOCK PL AND NW IONE PL,2016-07-04 19:00:00,10,15,0.6667,Monday
413,Ballard,RUSSELL AVE NW BETWEEN 20TH AVE NW AND NW MARKET ST,2017-03-05 12:00:00,10,15,0.6667,Sunday
414,Ballard,BALLARD AVE NW BETWEEN NW BALLARD WAY AND NW 48TH ST,2015-07-15 11:00:00,9,13,0.6923,Wednesday
415,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2014-07-05 17:00:00,15,17,0.8824,Saturday
416,Ballard,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,2017-03-05 16:00:00,10,15,0.6667,Sunday
417,Ballard,LEARY AVE NW BETWEEN NW VERNON PL AND NW MARKET ST,2018-04-19 11:00:00,9,13,0.6923,Thursday
418,Ballard,BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,2016-07-04 21:00:00,9,13,0.6923,Monday
419,Ballard,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,2015-07-15 13:00:00,20,23,0.8696,Wednesday
420,Ballard,20TH AVE NW BETWEEN BALLARD AVE NW AND LEARY AVE NW,2018-04-19 09:00:00,9,13,0.6923,Thursday
421,Ballard,NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2014-07-05 20:00:00,15,19,0.7895,Saturday
422,Ballard,NW MARKET ST BETWEEN 24TH AVE NW AND 26TH AVE NW,2017-03-05 21:00:00,15,19,0.7895,Sunday
423,Ballard,NW 56TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,2018-04-19 14:00:00,15,17,0.8824,Thursday
424,Ballard,RUSSELL AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2014-07-05 09:00:00,5,11,0.4545,Saturday
425,Ballard,BALLARD AVE NW BETWEEN NW BALLARD WAY AND NW 48TH ST,2015-07-15 15:00:00,9,13,0.6923,Wednesday
426,Ballard,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,2018-04-19 22:00:00,20,23,0.8696,Thursday
427,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2016-07-04 16:00:00,10,15,0.6667,Monday
428,Ballard,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,2018-04-19 18:00:00,15,19,0.7895,Thursday
429,Ballard,TALLMAN AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2014-07-05 12:00:00,8,12,0.6667,Saturday
430,Ballard,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,2015-07-15 17:00:00,15,19,0.7895,Wednesday
431,Ballard,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,2016-07-04 18:00:00,35,39,0.8974,Monday
432,Ballard,RUSSELL AVE NW BETWEEN 20TH AVE NW AND NW MARKET ST,2017-03-05 09:00:00,10,15,0.6667,Sunday
433,Ballard,20TH AVE NW BETWEEN BALLARD AVE NW AND LEARY AVE NW,2015-07-15 09:00:00,9,13,0.6923,Wednesday
434,Ballard,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,2018-04-19 22:00:00,10,14,0.7143,Thursday
