Elmntkey,Study_Area,Area_ID,Day_of_Week,Time,Parking_Spaces,Total_Vehicle_Count
1578,12th Ave,1,4,0.33,14,14
24554,12th Ave,1,4,0.08,12,8
69646,12th Ave,1,5,0.67,14,14
24557,12th Ave,1,5,1,11,12
24557,12th Ave,1,4,0.42,22,22
46906,12th Ave,1,5,0.67,16,6
1577,12th Ave,1,3,0.08,16,13
1578,12th Ave,1,3,0.75,14,12
24554,12th Ave,1,3,0.33,12,11
24553,12th Ave,1,3,0.33,14,13
24554,12th Ave,1,4,0,12,4
46729,12th Ave,1,3,0.58,14,5
1578,12th Ave,1,4,0.83,14,14
24553,12th Ave,1,4,0.33,14,14
24557,12th Ave,1,3,0.83,22,25
1578,12th Ave,1,4,0.92,14,16
24554,12th Ave,1,3,0.5,12,13
24557,12th Ave,1,4,0.75,22,22
24554,12th Ave,1,4,0.92,12,14
46729,12th Ave,1,4,0.25,14,6
1814,12th Ave,1,5,1.25,15,3
46906,12th Ave,1,5,0.08,16,5
1814,12th Ave,1,5,0,15,6
46906,12th Ave,1,5,0.75,16,13
46729,12th Ave,1,4,0.92,14,14
24557,12th Ave,1,3,0.25,22,21
24554,12th Ave,1,4,1,12,16
24557,12th Ave,1,4,0.83,22,22
1577,12th Ave,1,4,1,16,18
24558,12th Ave,1,3,1.25,13,8
24557,12th Ave,1,3,1.17,22,14
24553,12th Ave,1,3,1.17,14,9
24553,12th Ave,1,3,0.25,14,13
1578,12th Ave,1,4,0.75,14,10
46729,12th Ave,1,4,0.67,14,12
1577,12th Ave,1,4,0.42,16,14
46906,12th Ave,1,5,0,16,9
24558,12th Ave,1,3,0.75,13,8
1814,12th Ave,1,5,0.5,15,10
69645,12th Ave,1,5,0.58,12,11
24554,12th Ave,1,4,0.33,12,10
24558,12th Ave,1,3,1.17,13,8
46729,12th Ave,1,3,0.67,14,5
24557,12th Ave,1,4,0,22,4
24553,12th Ave,1,4,0.42,14,14
69645,12th Ave,1,5,0.42,12,11
24554,12th Ave,1,3,0,12,3
46729,12th Ave,1,4,0.58,14,12
69646,12th Ave,1,5,0.42,14,13
1814,12th Ave,1,5,1.17,15,2
24557,12th Ave,1,3,0.5,22,19
24553,12th Ave,1,4,0.25,14,12
69646,12th Ave,1,5,0.17,14,14
46729,12th Ave,1,4,1.08,14,14
46906,12th Ave,1,5,0.5,16,12
69646,12th Ave,1,5,0.75,14,14
24554,12th Ave,1,3,1,12,14
24558,12th Ave,1,3,0.67,13,5
24554,12th Ave,1,3,0.17,12,11
24557,12th Ave,1,3,1.08,22,11
69645,12th Ave,1,5,0.25,12,11
24553,12th Ave,1,4,0.92,14,14
1577,12th Ave,1,3,0.58,16,13
46729,12th Ave,1,3,1.25,14,15
69646,12th Ave,1,5,1.25,14,0
24557,12th Ave,1,4,0.33,22,22
1577,12th Ave,1,3,1.25,16,7
24554,12th Ave,1,3,1.17,12,8
24553,12th Ave,1,4,0.83,14,16
46729,12th Ave,1,4,0.17,14,4
24557,12th Ave,1,5,0.67,11,10
1814,12th Ave,1,5,1,15,13
1578,12th Ave,1,3,1.17,14,7
24553,12th Ave,1,4,1,14,16
24554,12th Ave,1,4,0.75,12,10
69645,12th Ave,1,5,0,12,10
1814,12th Ave,1,5,0.25,15,12
1578,12th Ave,1,4,1.08,14,10
46729,12th Ave,1,3,1,14,14
24557,12th Ave,1,4,0.17,22,22
1814,12th Ave,1,5,0.17,15,6
1577,12th Ave,1,3,0.5,16,14
46729,12th Ave,1,3,0.17,14,5
46729,12th Ave,1,3,0,14,0
1577,12th Ave,1,3,0.92,16,18
69645,12th Ave,1,5,1.17,12,5
69645,12th Ave,1,5,0.17,12,11
46906,12th Ave,1,5,1.25,16,2
24554,12th Ave,1,3,1.08,12,9
24557,12th Ave,1,4,1.08,22,24
1578,12th Ave,1,4,0.08,14,8
46906,12th Ave,1,5,1.08,16,2
24558,12th Ave,1,3,0.42,13,10
24557,12th Ave,1,3,0.08,22,19
1814,12th Ave,1,5,0.75,15,13
1814,12th Ave,1,5,0.83,15,15
24557,12th Ave,1,3,1.25,22,11
24554,12th Ave,1,4,0.83,12,14
24557,12th Ave,1,5,0.5,11,10
24557,12th Ave,1,3,0.92,22,25
1578,12th Ave,1,4,0,14,4
24553,12th Ave,1,3,1.08,14,11
24554,12th Ave,1,4,0.25,12,12
1577,12th Ave,1,4,0.75,16,14
1577,12th Ave,1,4,0.92,16,18
1577,12th Ave,1,4,1.08,16,18
69646,12th Ave,1,5,0.25,14,14
69645,12th Ave,1,5,0.83,12,10
24553,12th Ave,1,4,0.58,14,14
46729,12th Ave,1,3,1.17,14,16
1578,12th Ave,1,3,0.33,14,14
1577,12th Ave,1,4,0.17,16,18
1814,12th Ave,1,5,0.92,15,14
1577,12th Ave,1,3,0.42,16,15
1578,12th Ave,1,3,0.25,14,13
69646,12th Ave,1,5,1.08,14,0
24558,12th Ave,1,3,1,13,10
24557,12th Ave,1,4,1,22,20
69645,12th Ave,1,5,1,12,8
24558,12th Ave,1,3,0.17,13,5
24557,12th Ave,1,4,0.92,22,22
24554,12th Ave,1,3,0.08,12,7
1814,12th Ave,1,5,0.33,15,11
24557,12th Ave,1,5,0.58,11,9
1577,12th Ave,1,4,0.58,16,16
1578,12th Ave,1,4,0.5,14,12
24557,12th Ave,1,3,0.83,11,12
24557,12th Ave,1,3,1.25,11,9
24557,12th Ave,1,3,0,11,6
24557,12th Ave,1,3,0.33,11,11
24557,12th Ave,1,3,1,11,12
24557,12th Ave,1,3,0.67,11,11
24557,12th Ave,1,3,0.42,11,10
24557,12th Ave,1,3,1.17,11,10
